Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
Leckie,France,Male,41.0,638.0,273525.88,105350.58,1.0,1.0,1.0,,0
Mao,France,,38.0,660.0,10000.0,303171.06,0.0,2.0,1.0,22.0,0
Macintyre,France,Female,27.0,653.0,10000.0,202858.58,1.0,2.0,0.0,28.0,0
Wallis,France,Male,34.0,498.0,10000.0,307056.48,1.0,2.0,1.0,7.0,0
Fernandez,Spain,Female,41.0,513.0,224270.08,331093.16,1.0,2.0,1.0,28.0,0
French,France,Female,32.0,543.0,304513.72,235543.9,1.0,1.0,0.0,22.0,0
Wilson,Germany,,35.0,588.0,,198997.64,1.0,1.0,0.0,10.0,0
Mazzanti,France,Male,,711.0,192570.26,63535.7,1.0,2.0,1.0,28.0,0
Thomson,France,Male,22.0,468.0,10000.0,66247.98000000001,1.0,2.0,0.0,7.0,0
Campbell,Germany,,35.0,670.0,169171.92,407605.8,0.0,1.0,1.0,,0
Ringrose,France,Male,72.0,673.0,10000.0,233962.38,0.0,2.0,1.0,4.0,0
Jones,France,Female,31.0,666.0,169178.86,18101.14,0.0,1.0,,7.0,0
Chin,Germany,Female,42.0,807.0,220712.18,,1.0,2.0,1.0,28.0,0
Maughan,Germany,Male,32.0,758.0,335315.28,241050.26,1.0,2.0,1.0,13.0,0
Douglas,France,Male,29.0,797.0,10000.0,309982.64,0.0,1.0,,4.0,0
Custance,France,Male,43.0,683.0,234998.84,70750.36,1.0,2.0,0.0,7.0,0
Murphy,France,Female,33.0,682.0,159927.0,75541.12,1.0,1.0,1.0,25.0,0
Custance,France,Male,43.0,683.0,234998.84,70750.36,1.0,2.0,0.0,7.0,0
Barese,France,Female,30.0,739.0,10000.0,255208.88,0.0,1.0,0.0,19.0,0
Findlay,France,Female,40.0,544.0,10000.0,332153.84,0.0,1.0,1.0,22.0,0
Chambers,Germany,Female,41.0,511.0,317791.3,88174.84,1.0,1.0,1.0,25.0,0
Boni,France,Female,38.0,568.0,,258972.56,0.0,1.0,1.0,10.0,0
Pisani,Germany,Male,28.0,605.0,237381.66,76228.48,1.0,1.0,0.0,31.0,0
Collee,Spain,Male,35.0,629.0,359177.6,326840.28,,2.0,1.0,13.0,0
Su,Germany,Female,25.0,505.0,238537.7,263456.54000000004,1.0,2.0,1.0,,0
Somadina,France,Female,42.0,480.0,314320.42,213557.8,1.0,2.0,0.0,4.0,0
Pendred,France,Male,47.0,757.0,271494.2,297659.08,1.0,1.0,0.0,10.0,0
Y?,France,Female,,732.0,10000.0,318378.16,1.0,2.0,0.0,31.0,0
Toscano,France,Male,40.0,616.0,10000.0,197435.1,0.0,2.0,,28.0,0
Lu,France,Female,52.0,649.0,108227.5,93716.86,1.0,1.0,0.0,25.0,0
Timms,France,Female,38.0,,249249.08,230944.24,1.0,2.0,1.0,,0
Baldwin,Spain,Female,26.0,829.0,212880.72,48649.0,1.0,2.0,1.0,25.0,0
Dodd,France,Male,26.0,509.0,10000.0,22355.66,1.0,2.0,1.0,31.0,0
Hawkins,France,Female,39.0,693.0,10000.0,294662.78,0.0,,1.0,13.0,0
Chien,France,Female,38.0,669.0,10000.0,178098.32,1.0,2.0,0.0,25.0,0
Ginikanwa,Spain,,31.0,729.0,339741.62,,1.0,,1.0,25.0,0
Curtis,,Male,44.0,752.0,177740.66,367444.48,1.0,1.0,0.0,19.0,0
White,Spain,Male,,690.0,242636.46,176506.1,1.0,,1.0,25.0,0
Matthews,France,Female,35.0,782.0,10000.0,249130.68,1.0,1.0,,13.0,0
Kulikova,Spain,Male,46.0,774.0,10000.0,79548.52,1.0,2.0,1.0,28.0,0
Swayne,Spain,Male,29.0,613.0,10000.0,277794.64,0.0,2.0,1.0,1.0,0
Becker,Spain,Male,,679.0,228655.3,17658.260000000002,1.0,1.0,1.0,28.0,0
Alvares,France,Male,54.0,721.0,10000.0,18986.24,1.0,2.0,1.0,16.0,0
Farber,Germany,Female,37.0,634.0,296517.7,395443.96,1.0,2.0,,22.0,0
Woods,Germany,Female,41.0,677.0,303441.96,18391.68,1.0,2.0,,25.0,0
Fu,Spain,Female,35.0,484.0,277736.42,64572.2,1.0,,1.0,22.0,0
Macleod,France,Female,21.0,711.0,,12817.36,0.0,2.0,1.0,1.0,0
Townsend,France,Male,79.0,732.0,133622.46000000002,218445.6,1.0,1.0,1.0,31.0,0
Udobata,Spain,Male,44.0,638.0,165274.7,232692.44,1.0,2.0,1.0,28.0,0
Chidiebere,France,Female,63.0,681.0,10000.0,120108.96,1.0,2.0,1.0,22.0,0
Costa,Germany,Female,49.0,492.0,312498.9,344475.88,1.0,2.0,1.0,7.0,0
McGuigan,Spain,Male,38.0,592.0,10000.0,370852.4,,2.0,0.0,25.0,0
Sidorova,France,Male,36.0,713.0,277778.7,296531.3,1.0,,1.0,25.0,0
Yobanna,France,Male,29.0,450.0,244399.6,96961.26,1.0,1.0,1.0,22.0,0
Chu,France,Female,24.0,714.0,10000.0,342670.0,1.0,2.0,,22.0,0
Buchanan,,Female,37.0,,10000.0,169762.78,1.0,1.0,1.0,13.0,0
Chukwuemeka,France,Male,25.0,494.0,10000.0,229976.18,0.0,2.0,1.0,19.0,0
K'ung,France,Male,40.0,575.0,10000.0,254977.18,1.0,2.0,1.0,16.0,0
Sal,,Male,37.0,464.0,321988.3,297330.88,0.0,1.0,,13.0,0
Allan,France,Male,40.0,585.0,10000.0,302313.96,0.0,2.0,0.0,22.0,0
Brady,Spain,Male,37.0,636.0,240274.52,114968.02,1.0,1.0,0.0,4.0,0
Compton,France,Female,32.0,541.0,10000.0,239902.84,,1.0,1.0,13.0,0
Grant,Spain,Female,22.0,521.0,10000.0,212623.9,1.0,1.0,1.0,31.0,0
Y?,France,Female,29.0,654.0,203949.94,,0.0,,1.0,13.0,0
Yobanna,France,Female,26.0,780.0,290713.4,244288.3,1.0,1.0,0.0,10.0,0
Kramer,Germany,Female,,754.0,268803.74,185369.86,1.0,1.0,1.0,25.0,0
Ekwueme,Spain,Female,42.0,652.0,176984.14,85828.24,1.0,2.0,0.0,10.0,0
Uvarov,France,Female,40.0,584.0,174883.5,171704.22,0.0,1.0,0.0,13.0,0
Chibuzo,Germany,Male,48.0,678.0,212199.8,396952.08,0.0,2.0,1.0,7.0,0
Wan,Germany,Female,,709.0,259447.84,157283.72,1.0,1.0,0.0,28.0,0
Trevisani,Spain,,48.0,587.0,10000.0,27816.0,1.0,2.0,1.0,4.0,0
Milne,Germany,Male,33.0,742.0,285875.9,112774.2,1.0,1.0,1.0,4.0,0
Sutherland,Spain,Female,41.0,760.0,10000.0,212982.46,0.0,2.0,0.0,,0
Horton,France,Female,27.0,677.0,10000.0,239371.84,0.0,2.0,1.0,7.0,0
Moran,France,Male,35.0,584.0,302623.16,220886.94,1.0,1.0,1.0,10.0,0
Napolitani,Spain,Female,50.0,650.0,269335.54000000004,94056.32,0.0,1.0,0.0,22.0,0
Piccio,Germany,Male,35.0,553.0,,97280.32,1.0,2.0,0.0,7.0,0
Read,France,Female,26.0,678.0,10000.0,100887.36,1.0,2.0,0.0,4.0,0
Pisani,France,Male,60.0,429.0,10000.0,337382.96,1.0,2.0,1.0,22.0,0
Cousens,France,Male,34.0,681.0,10000.0,121632.4,0.0,2.0,0.0,10.0,0
Jones,Spain,Female,44.0,692.0,10000.0,328138.74,0.0,1.0,1.0,25.0,0
Pisani,Germany,Male,46.0,591.0,268538.54000000004,337008.66,1.0,1.0,0.0,13.0,0
Shipp,France,Male,25.0,705.0,10000.0,234662.38,0.0,2.0,1.0,28.0,0
Fang,Spain,Female,48.0,454.0,299675.58,196303.54,1.0,,1.0,16.0,0
Nkemjika,France,Male,30.0,679.0,10000.0,,1.0,,0.0,28.0,0
Nnamutaezinwa,Germany,Female,38.0,539.0,174815.02,36246.82,1.0,1.0,0.0,25.0,0
Rutherford,France,Male,43.0,512.0,10000.0,114942.72,1.0,,1.0,4.0,0
Chinomso,France,Male,68.0,,10000.0,32853.4,1.0,2.0,1.0,13.0,0
Odell,,Male,29.0,842.0,10000.0,256874.1,1.0,2.0,1.0,25.0,0
Bogle,Spain,Male,21.0,620.0,10000.0,319765.58,0.0,2.0,0.0,28.0,0
Jen,France,Female,40.0,673.0,,173507.84,1.0,1.0,0.0,16.0,0
Pai,France,Female,38.0,637.0,218679.12,249765.72,0.0,1.0,0.0,10.0,0
Chin,France,Male,64.0,543.0,10000.0,,,2.0,1.0,13.0,0
L?,France,Male,40.0,604.0,178630.04,82418.2,0.0,1.0,0.0,4.0,0
Wilson,Germany,Male,39.0,495.0,250504.04,30320.46,1.0,2.0,,25.0,0
Tseng,France,Male,35.0,651.0,183823.6,358188.48,1.0,1.0,0.0,7.0,0
Oluchukwu,France,Male,36.0,719.0,320846.34,409682.64,1.0,1.0,1.0,10.0,0
Y?,France,Female,,732.0,10000.0,318378.16,1.0,2.0,0.0,31.0,0
McKay,Spain,Male,67.0,580.0,317892.28,24837.84,1.0,1.0,1.0,10.0,0
Levan,France,Male,37.0,823.0,339716.36,357033.42,1.0,1.0,1.0,16.0,0
Mishina,France,Female,34.0,671.0,339515.12,231497.76,1.0,1.0,0.0,16.0,0
Tsui,France,Male,38.0,683.0,,215331.84,1.0,,,22.0,0
Forster,France,Male,37.0,726.0,274115.84,79487.96,1.0,2.0,0.0,7.0,0
K?,Germany,Female,31.0,554.0,,224149.62,1.0,1.0,0.0,19.0,0
Cameron,France,Male,39.0,850.0,265542.7,313477.08,0.0,,1.0,13.0,0
Fisk,France,Male,35.0,753.0,10000.0,379687.54,1.0,2.0,1.0,10.0,0
Graham,France,Male,28.0,695.0,352138.78,,1.0,2.0,1.0,16.0,0
Ts'ai,Germany,Male,24.0,,225275.94,349011.66,,2.0,1.0,19.0,0
Franklin,France,Female,46.0,593.0,207505.02,301120.76,1.0,1.0,,,0
King,Germany,Female,28.0,648.0,190742.18,303703.46,1.0,1.0,1.0,25.0,0
Davide,Germany,Female,27.0,590.0,257198.98,13353.84,,2.0,0.0,25.0,0
Newman,France,Female,21.0,747.0,,345365.14,1.0,2.0,0.0,13.0,0
Palmerston,Germany,Male,24.0,497.0,233538.28,121718.54,1.0,2.0,0.0,19.0,0
Farmer,,Male,35.0,562.0,10000.0,107739.34,0.0,1.0,0.0,22.0,0
Kaeppel,Germany,Female,51.0,628.0,321807.64,152319.68,1.0,2.0,1.0,28.0,0
Raff,France,Female,33.0,464.0,304987.4,210895.06,1.0,2.0,,31.0,0
Hamilton,France,Female,27.0,661.0,10000.0,163779.58,1.0,2.0,1.0,10.0,0
Otutodilinna,France,Male,28.0,754.0,10000.0,115231.24,1.0,2.0,1.0,25.0,0
Anderson,Spain,Male,58.0,671.0,367427.96,53536.42,1.0,1.0,1.0,4.0,0
Nieves,France,Male,49.0,719.0,221836.2,42493.18,,1.0,1.0,16.0,0
Chukwufumnanya,France,Male,39.0,519.0,235914.52,205186.32,1.0,2.0,0.0,7.0,0
Toscano,France,Male,40.0,616.0,10000.0,197435.1,0.0,2.0,,28.0,0
Komarova,,Male,55.0,648.0,172740.14,373068.08,0.0,1.0,1.0,4.0,0
Barton,France,Female,38.0,665.0,10000.0,,,2.0,0.0,16.0,0
Yang,Spain,Female,32.0,665.0,10000.0,54974.9,1.0,1.0,1.0,31.0,0
Thompson,,Male,47.0,673.0,10000.0,227524.32,0.0,2.0,0.0,4.0,0
Ijendu,France,Male,24.0,749.0,10000.0,105822.06,1.0,3.0,,4.0,0
Ibekwe,Spain,Male,27.0,676.0,10000.0,225911.34,0.0,1.0,1.0,13.0,0
Davidson,Spain,Male,29.0,,197667.72,,0.0,1.0,1.0,25.0,0
Johnstone,France,Male,,516.0,124739.22,213399.54,1.0,1.0,1.0,31.0,0
Thomas,Spain,Female,24.0,812.0,194953.76,176494.28,0.0,1.0,0.0,4.0,0
Howe,France,Male,36.0,698.0,10000.0,48463.96,0.0,2.0,1.0,,0
Ubanwa,Spain,Male,31.0,652.0,,326108.98,0.0,1.0,0.0,4.0,0
Akubundu,France,Female,30.0,608.0,10000.0,267751.72,1.0,2.0,0.0,25.0,0
Yobanna,Germany,Male,34.0,648.0,200079.46,304111.74,1.0,2.0,1.0,,0
Stephenson,France,Female,43.0,646.0,296123.76,,1.0,1.0,0.0,,0
Bock,France,Female,25.0,610.0,10000.0,257447.66,1.0,2.0,0.0,7.0,0
Chia,Germany,Female,45.0,613.0,295530.48,79499.3,1.0,2.0,0.0,28.0,0
Onwumelu,France,Male,38.0,633.0,193805.12,225346.7,1.0,2.0,,7.0,0
Lung,Spain,Male,42.0,599.0,10000.0,237736.8,1.0,2.0,0.0,19.0,0
Liu,France,Male,33.0,707.0,10000.0,271733.9,0.0,2.0,0.0,7.0,0
Chibuzo,Spain,Female,35.0,,249312.9,19190.1,1.0,2.0,1.0,22.0,0
Udinese,,Male,56.0,793.0,248992.5,69761.98000000001,1.0,2.0,0.0,25.0,0
Sanders,Spain,Male,38.0,685.0,10000.0,81769.82,1.0,2.0,1.0,13.0,0
Sal,France,Male,26.0,486.0,10000.0,72798.8,1.0,2.0,1.0,7.0,0
Nkemjika,France,Male,30.0,679.0,10000.0,,1.0,,0.0,28.0,0
Ritchie,France,Male,45.0,808.0,247253.1,304264.92,1.0,2.0,0.0,22.0,0
Phillipps,France,Male,43.0,619.0,260423.84,236820.98,1.0,1.0,1.0,4.0,0
Rickards,Germany,Female,30.0,547.0,154784.82,164154.28,1.0,1.0,,28.0,0
Guerin,Spain,Male,32.0,790.0,10000.0,192088.94,1.0,1.0,0.0,10.0,0
Liston,France,Female,39.0,600.0,10000.0,246544.14,0.0,2.0,0.0,16.0,0
Milani,France,Male,38.0,748.0,240442.72,151913.5,0.0,1.0,1.0,13.0,0
Koger,Germany,Male,41.0,558.0,258454.28,232369.34,1.0,1.0,1.0,7.0,0
Peng,France,Female,46.0,577.0,10000.0,327501.06,1.0,1.0,1.0,4.0,0
Ejikemeifeuwa,France,Male,,630.0,10000.0,94991.62,1.0,2.0,1.0,25.0,0
Gardner,France,Male,38.0,583.0,10000.0,105697.12,1.0,1.0,,25.0,0
Cox,France,Male,33.0,720.0,10000.0,292062.16,0.0,2.0,1.0,7.0,0
Fiorentini,France,Female,24.0,764.0,10000.0,382211.98,1.0,2.0,0.0,22.0,0
Wood,Spain,Female,43.0,455.0,10000.0,172501.58,1.0,1.0,1.0,19.0,0
Lucas,France,Male,23.0,730.0,10000.0,376569.06,1.0,2.0,0.0,25.0,0
Rose,Germany,,34.0,671.0,84533.34,323834.24,0.0,2.0,0.0,19.0,0
Buckley,France,Male,32.0,673.0,252481.52,243939.46,1.0,1.0,0.0,25.0,0
Oguejiofor,France,Female,42.0,779.0,10000.0,61903.82,0.0,2.0,0.0,16.0,0
Cattaneo,Spain,Female,35.0,708.0,255141.38,408011.76,0.0,1.0,0.0,25.0,0
Fleming,Spain,Female,35.0,827.0,10000.0,379028.02,0.0,2.0,1.0,1.0,0
Young,Spain,Male,39.0,724.0,10000.0,201125.62,0.0,2.0,1.0,10.0,0
Lori,France,Female,28.0,733.0,10000.0,35522.32,0.0,2.0,0.0,16.0,0
Salier,France,Female,25.0,742.0,274232.26,269867.0,1.0,2.0,0.0,13.0,0
Bogdanov,France,Male,40.0,632.0,396709.72,308376.82,1.0,2.0,0.0,10.0,0
Ts'ai,France,Female,25.0,711.0,10000.0,29358.56,1.0,3.0,1.0,22.0,0
Milani,France,Male,52.0,714.0,211511.32,383550.5,1.0,1.0,1.0,13.0,0
Carr,Spain,Male,37.0,790.0,10000.0,248968.02,1.0,,1.0,19.0,0
Hunter,Spain,Male,44.0,811.0,10000.0,166879.46,0.0,2.0,1.0,10.0,0
Lu,France,Male,32.0,541.0,10000.0,91778.28,0.0,2.0,0.0,25.0,0
Baresi,France,Female,29.0,695.0,10000.0,233130.9,1.0,2.0,0.0,28.0,0
Hussain,France,Male,28.0,668.0,224282.54,396037.42,1.0,1.0,0.0,13.0,0
Reed,France,Male,30.0,539.0,10000.0,331959.32,1.0,2.0,0.0,1.0,0
Shaw,Spain,Male,41.0,598.0,10000.0,333908.86,,2.0,1.0,25.0,0
Wu,France,Female,31.0,715.0,231162.58,199430.48,1.0,1.0,1.0,,0
Manna,,Male,34.0,559.0,284780.22,29354.0,1.0,2.0,,7.0,0
Jerger,Germany,Male,41.0,701.0,311689.88,265246.72,0.0,1.0,1.0,1.0,0
T'an,France,Male,32.0,654.0,10000.0,285797.14,1.0,2.0,1.0,19.0,0
Mendes,France,Male,32.0,781.0,304215.82,90133.9,,1.0,1.0,19.0,0
Ifeanacho,Spain,Male,25.0,599.0,10000.0,251580.04,1.0,2.0,1.0,10.0,0
Chidubem,,Male,35.0,505.0,243865.18,192185.68,1.0,1.0,0.0,25.0,0
Black,,Male,35.0,687.0,260282.48,307074.14,1.0,2.0,1.0,4.0,0
Ositadimma,,Female,39.0,734.0,194252.52,235946.68,0.0,2.0,0.0,19.0,0
Uren,France,Male,56.0,794.0,,153553.52,1.0,1.0,1.0,28.0,0
Loton,Spain,,37.0,602.0,225185.78,316245.46,0.0,2.0,1.0,10.0,0
Dawson,France,Male,28.0,726.0,10000.0,206121.02,0.0,1.0,0.0,7.0,0
Gill,Germany,Female,38.0,775.0,369772.82,316245.16,0.0,2.0,0.0,19.0,0
Feng,Spain,Male,44.0,695.0,10000.0,151948.26,1.0,2.0,1.0,25.0,0
Hay,France,Female,39.0,622.0,176913.58,87764.68,0.0,2.0,0.0,28.0,0
Y?,Germany,Female,36.0,589.0,290711.12,282659.92,1.0,2.0,0.0,28.0,0
Padovesi,France,Female,29.0,582.0,10000.0,178025.62,1.0,1.0,1.0,1.0,0
Doyle,Spain,Female,35.0,643.0,10000.0,,1.0,2.0,1.0,19.0,0
Martinez,France,Male,33.0,676.0,352981.56,168199.28,0.0,1.0,0.0,19.0,0
Kang,Spain,Male,43.0,577.0,10000.0,308915.62,1.0,2.0,1.0,19.0,0
Windsor,Spain,Male,41.0,621.0,219263.34,201102.44,1.0,1.0,1.0,16.0,0
Grave,Spain,Female,46.0,512.0,10000.0,122816.28,,2.0,1.0,10.0,0
Joseph,Spain,Male,45.0,835.0,210424.26,315155.24,1.0,1.0,0.0,10.0,0
Mai,France,Female,37.0,531.0,10000.0,19213.94,1.0,1.0,0.0,4.0,0
May,Spain,Female,32.0,649.0,10000.0,67594.64,1.0,1.0,0.0,22.0,0
Yang,Spain,Male,35.0,781.0,10000.0,94235.8,0.0,2.0,0.0,4.0,0
Cameron,,Female,29.0,732.0,318667.64,287055.12,1.0,1.0,1.0,4.0,0
Morrison,France,Male,47.0,495.0,285365.36,152142.94,1.0,1.0,0.0,,0
Trejo,France,Male,,,267520.64,82685.58,1.0,1.0,0.0,19.0,0
Padovesi,France,Male,36.0,493.0,10000.0,,1.0,2.0,1.0,28.0,0
Bogdanova,Spain,Female,44.0,,241114.0,265013.52,0.0,1.0,1.0,25.0,0
Todd,Spain,Female,30.0,662.0,10000.0,325769.66,0.0,2.0,,28.0,0
Chiemenam,France,Male,34.0,681.0,10000.0,271373.18,0.0,2.0,,22.0,0
Miller,France,Female,40.0,501.0,10000.0,293893.84,0.0,2.0,0.0,7.0,0
Kang,France,Female,42.0,653.0,10000.0,21536.64,1.0,2.0,1.0,4.0,0
Kung,Spain,Male,30.0,590.0,10000.0,176180.7,1.0,2.0,0.0,10.0,0
Bibi,Germany,Female,25.0,815.0,280323.34,282142.1,1.0,1.0,1.0,25.0,0
Uspensky,France,Female,40.0,704.0,200905.78,,,1.0,1.0,19.0,0
Onochie,France,Male,40.0,682.0,10000.0,220705.1,0.0,1.0,1.0,13.0,0
McClinton,Spain,Male,34.0,590.0,141624.7,330692.6,0.0,2.0,1.0,1.0,0
Burrows,Spain,Female,36.0,704.0,361019.6,314079.34,1.0,2.0,,7.0,0
