id_client,Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
30379,Bailey,France,Male,34.0,684.0,10000.0,"140515,14",1.0,2.0,1.0,28.0,0
9717,Chiu,Germany,Female,54.0,794.0,161801.68,"394309,32",1.0,1.0,1.0,4.0,0
10137,Veltri,France,,37.0,655.0,233705.68,"31022,26",1.0,2.0,0.0,22.0,0
4293,Stewart,France,Female,40.0,787.0,10000.0,"178303,96",1.0,2.0,,19.0,0
30585,Davis,France,Male,37.0,822.0,221126.0,"375249,86",1.0,1.0,0.0,10.0,0
11519,Browne,Spain,Female,27.0,754.0,10000.0,"253642,32",0.0,2.0,0.0,25.0,0
30495,Zaytseva,Spain,Female,38.0,624.0,10000.0,nan,,2.0,0.0,25.0,0
8581,Kibble,France,Male,69.0,494.0,196641.6,"58978,88",1.0,1.0,1.0,28.0,0
21739,Chigolum,Germany,Female,33.0,631.0,256493.4,"235375,14",0.0,1.0,0.0,13.0,0
13486,Scott,France,Male,37.0,655.0,10000.0,"294831,94",1.0,,1.0,13.0,0
5340,Shaw,Spain,,31.0,727.0,,"163228,08",0.0,2.0,0.0,31.0,0
11571,Edmondstone,France,Female,41.0,696.0,10000.0,"66553,66",0.0,2.0,0.0,25.0,0
12904,Nwebube,France,Male,26.0,630.0,269675.44,"404002,3",0.0,2.0,1.0,22.0,0
25878,Chukwualuka,Spain,Male,39.0,539.0,10000.0,"106379,88",1.0,2.0,1.0,7.0,0
18229,Atkins,Spain,Male,36.0,,280433.6,"254045,78",1.0,1.0,1.0,22.0,0
1286,Parsons,France,Male,35.0,684.0,,"84528,22",1.0,1.0,1.0,10.0,0
4442,Ko,Spain,Female,30.0,629.0,78027.26,"49141,26",1.0,1.0,0.0,7.0,0
31703,Tai,France,Male,,526.0,,"262563,66000000003",0.0,1.0,1.0,4.0,0
21302,Micklem,France,Female,32.0,447.0,10000.0,"313631,52",1.0,1.0,1.0,31.0,0
13966,White,Spain,Male,,690.0,242636.46,"176506,1",1.0,,1.0,25.0,0
11358,Currey,,Male,33.0,622.0,203852.24,"107107,54",1.0,2.0,0.0,10.0,0
105,Fisk,France,Male,35.0,753.0,10000.0,"379687,54",1.0,2.0,1.0,10.0,0
32288,Burgin,France,Female,52.0,716.0,141943.22,"39216,0",1.0,2.0,0.0,22.0,1
26118,Rearick,Spain,Male,88.0,513.0,10000.0,"115904,48",1.0,2.0,1.0,31.0,0
17197,McKissick,France,Male,33.0,670.0,10000.0,"182826,22",1.0,2.0,1.0,4.0,0
6275,Butler,France,Male,,711.0,256691.7,"293655,66",1.0,1.0,0.0,13.0,0
14327,Chiu,France,Male,31.0,850.0,202798.62,"223068,3",,,0.0,4.0,0
8486,Kirby,Germany,Female,55.0,714.0,370150.44,"210255,42",1.0,1.0,1.0,28.0,0
20016,Sun,France,Male,38.0,717.0,10000.0,"327160,1",1.0,2.0,1.0,22.0,0
1813,T'ao,France,Male,30.0,694.0,10000.0,"40078,82",0.0,3.0,1.0,7.0,0
17106,Rowe,Spain,Female,45.0,737.0,10000.0,"365391,34",0.0,2.0,1.0,7.0,0
6785,Yen,France,Female,37.0,472.0,10000.0,"106715,8",1.0,2.0,1.0,4.0,0
